class,seed,a_star,eps,vis,fr,rank,dropped
3,60,1,0.07,50,0.2,1,0
3,60,1,0.07,50,0.1,1,0
3,60,1,0.07,50,0.05,5,0
3,60,1,0.07,50,0.02,5,0
3,60,1,0.07,80,0.3,1,0
3,60,1,0.07,80,0.2,1,0
3,60,1,0.07,80,0.1,1,0
3,60,1,0.07,80,0.05,6,0
3,60,1,0.07,80,0.02,5,0
3,60,1,0.1,50,0.3,1,0
3,60,1,0.1,50,0.2,1,0
3,60,1,0.1,50,0.1,5,0
3,60,1,0.1,50,0.05,5,0
3,60,1,0.1,50,0.02,5,0
3,60,1,0.1,80,0.3,1,0
3,60,1,0.1,80,0.2,1,0
3,60,1,0.1,80,0.1,1,0
3,60,1,0.1,80,0.05,6,0
3,60,1,0.1,80,0.02,5,0
4,103,5,0.035,50,0.3,4,0
4,103,5,0.035,50,0.2,4,0
4,103,5,0.035,50,0.1,4,0
4,103,5,0.035,50,0.05,4,0
4,103,5,0.035,50,0.02,4,0
4,103,5,0.035,80,0.3,3,0
4,103,5,0.035,80,0.2,3,0
4,103,5,0.035,80,0.1,3,0
4,103,5,0.035,80,0.05,3,0
4,103,5,0.035,80,0.02,3,0
4,103,5,0.07,50,0.3,3,0
4,103,5,0.07,50,0.2,3,0
4,103,5,0.07,50,0.1,3,0
4,103,5,0.07,50,0.05,3,0
4,103,5,0.07,50,0.02,4,0
4,103,5,0.07,80,0.3,3,0
4,103,5,0.07,80,0.2,3,0
4,103,5,0.07,80,0.1,3,0
4,103,5,0.07,80,0.05,3,0
4,103,5,0.07,80,0.02,3,0
4,103,5,0.1,50,0.3,4,0
4,103,5,0.1,50,0.2,3,0
4,103,5,0.1,50,0.1,3,0
4,103,5,0.1,50,0.05,3,0
4,103,5,0.1,50,0.02,4,0
4,103,5,0.1,80,0.3,3,0
4,103,5,0.1,80,0.2,3,0
4,103,5,0.1,80,0.1,3,0
4,103,5,0.1,80,0.05,3,0
4,103,5,0.1,80,0.02,3,0
4,104,3,0.035,50,0.3,3,0
4,104,3,0.035,50,0.2,3,0
4,104,3,0.035,50,0.1,3,0
4,104,3,0.035,50,0.05,6,0
4,104,3,0.035,50,0.02,6,0
4,104,3,0.035,80,0.3,3,0
4,104,3,0.035,80,0.2,3,0
4,104,3,0.035,80,0.1,3,0
4,104,3,0.035,80,0.05,3,0
4,104,3,0.035,80,0.02,3,0
4,104,3,0.07,50,0.3,3,0
4,104,3,0.07,50,0.2,3,0
4,104,3,0.07,50,0.1,3,0
4,104,3,0.07,50,0.05,6,0
4,104,3,0.07,50,0.02,6,0
4,104,3,0.07,80,0.3,3,0
4,104,3,0.07,80,0.2,3,0
4,104,3,0.07,80,0.1,3,0
4,104,3,0.07,80,0.05,3,0
4,104,3,0.07,80,0.02,3,0
4,104,3,0.1,50,0.3,3,0
4,104,3,0.1,50,0.2,3,0
4,104,3,0.1,50,0.1,3,0
4,104,3,0.1,50,0.05,6,0
4,104,3,0.1,50,0.02,6,0
4,104,3,0.1,80,0.3,3,0
4,104,3,0.1,80,0.2,3,0
4,104,3,0.1,80,0.1,3,0
4,104,3,0.1,80,0.05,3,0
4,104,3,0.1,80,0.02,3,0
4,105,5,0.035,50,0.3,1,0
4,105,5,0.035,50,0.2,2,0
4,105,5,0.035,50,0.1,1,0
4,105,5,0.035,50,0.05,1,0
4,105,5,0.035,50,0.02,1,0
4,105,5,0.035,80,0.3,1,0
4,105,5,0.035,80,0.2,2,0
4,105,5,0.035,80,0.1,1,0
4,105,5,0.035,80,0.05,1,0
4,105,5,0.035,80,0.02,1,0
4,105,5,0.07,50,0.3,1,0
4,105,5,0.07,50,0.2,1,0
4,105,5,0.07,50,0.1,1,0
4,105,5,0.07,50,0.05,1,0
4,105,5,0.07,50,0.02,1,0
4,105,5,0.07,80,0.3,1,0
4,105,5,0.07,80,0.2,1,0
4,105,5,0.07,80,0.1,1,0
4,105,5,0.07,80,0.05,1,0
4,105,5,0.07,80,0.02,1,0
4,105,5,0.1,50,0.3,1,0
4,105,5,0.1,50,0.2,1,0
4,105,5,0.1,50,0.1,1,0
4,105,5,0.1,50,0.05,1,0
4,105,5,0.1,50,0.02,1,0
4,105,5,0.1,80,0.3,1,0
4,105,5,0.1,80,0.2,1,0
4,105,5,0.1,80,0.1,1,0
4,105,5,0.1,80,0.05,1,0
4,105,5,0.1,80,0.02,1,0
4,106,1,0.035,50,0.3,4,0
4,106,1,0.035,50,0.2,4,0
